%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
0,70.21001314083168,85.40080505205772,83.91960159527437,85.26998499317418,81.11979146082365,88.6740099138249,20.51754155308139,34.13211402485666,75.12645194359112,83.46031790416916,90.69774448402399,86.27466354344809,75.29258027827423,80.18513159591524,78.3444622850237,80.55485114709492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,52.55327235779164,67.28297373079724,68.7409799185125,62.817150822355416,65.28270612681479,75.08239829032081,-2.314547190586673,10.540134041418838,84.11627726563496,92.03776895814099,89.3339663304119,96.20722995414852,80.7733246287448,88.89787303350269,87.01269068019145,85.385338993289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,28.06210292489994,38.78121418825425,41.29685271485143,21.752548648122897,37.23370237413643,48.67348008867875,-8.045808511962115,-20.973684803447565,47.60826326781243,54.985093608381895,49.81874790880031,63.498712207685585,45.24695077434271,54.35259777788862,39.28727949631181,49.70874589387848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,29.61327099304158,38.25683809275597,42.79578601390016,16.336061522654738,34.9997086284257,45.72031559349656,3.7367911251398453,-24.196026506797338,27.278989548170294,35.06707104146358,27.018896717270895,33.81778504706085,21.408224196033565,31.141783266481482,10.949063529173497,28.5303039549302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,22.215183336959857,37.39539568261698,40.24447132864406,17.48926882126689,32.08147821940864,46.023532437679286,-8.859939340639318,-24.60417558456153,35.870656698958015,40.92967979262037,31.2657936554647,31.701154612322455,23.180065141142855,34.08118177973621,26.972830980147634,33.518738417989475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,7.8667036571222475,24.61234882939017,22.768670651416862,4.3424123479101056,16.88776523474915,33.1399675559,-39.0907948686662,-42.54113712418671,26.82423136197132,30.618830795448517,21.40891557742205,27.02047526980189,14.757217994881625,24.99552371680857,27.058868938047528,27.073621631932607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7.243583208517814,19.526614591689786,15.750915716773722,-6.696200421680739,8.654473995420144,24.60182990140531,-48.81817764328892,-51.91648569088063,16.34671067252086,17.799760936276428,17.24891846757885,14.37791322076858,4.586191615158597,12.128584647473712,11.834525378512943,14.808363932174416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-0.46246744669160655,13.208929903121629,9.446644324283314,-16.697334792854626,-1.44910118340602,19.490250454807885,-48.533793907682906,-57.323109885090574,18.50548460629197,17.25401052141746,25.534299186449758,13.23801027889284,8.29335918929197,13.297310644284693,6.936332726545658,15.09645077556825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-17.948474607815943,-5.624832677467031,-5.864976863675005,-32.05425599271156,-17.658900667594917,5.355980942392793,-49.31498920319167,-67.43292284180507,3.5569817587531105,7.628993912542299,3.9761738341646193,11.769612239330584,0.6993920956077844,6.735777791996547,-3.721477483043735,5.020407308725183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-36.901109804553066,-29.99204072694431,-26.89099231677824,-53.7163019216532,-35.7841848722116,-16.92594395018807,-55.059494408399516,-79.49585642787699,-18.875573624627226,-9.8109182312288,-24.458109226747883,-4.836719458357191,-19.590547925964827,-10.757499062658102,-27.301036524648893,-15.120276997209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
